item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,cue,target,option_a,option_b,option_c,option_d,correct_answer,scoring_key,max_points,scoring_rubric,distractor_rationale,rubric_ref,source_status,review_status
CR-SC-01,CR,scored,1,unrelated_pair,3,-0.55,"luna … sedia",luna,sedia,poltrona,sedia,barca,cucchiaio,B,"sedia",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-02,CR,scored,2,unrelated_pair,4,-0.45,"cane … bottone",cane,bottone,bottone,cintura,chiave,lampada,A,"bottone",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","B = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-03,CR,scored,3,unrelated_pair,8,-0.05,"fiume … violino",fiume,violino,chitarra,barca,violino,mela,C,"violino",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; B/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-04,CR,scored,4,unrelated_pair,5,-0.35,"pane … chiave",pane,chiave,serratura,martello,cucchiaio,chiave,D,"chiave",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = parola associata al bersaglio, non era nella lista; B/C = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-05,CR,scored,5,unrelated_pair,9,0.05,"nuvola … martello",nuvola,martello,martello,tenaglia,pesce,sedia,A,"martello",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","B = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-06,CR,scored,6,relatable_pair,1,-1.20,"scarpa … mela",scarpa,mela,pera,mela,barca,bottone,B,"mela",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-07,CR,scored,7,unrelated_pair,7,-0.15,"finestra … pesce",finestra,pesce,rana,lampada,pesce,violino,C,"pesce",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; B/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-08,CR,scored,8,unrelated_pair,10,0.15,"libro … cucchiaio",libro,cucchiaio,cucchiaio,mestolo,chiave,pesce,A,"cucchiaio",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","B = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-09,CR,scored,9,unrelated_pair,6,-0.25,"albero … lampada",albero,lampada,torcia,mela,sedia,lampada,D,"lampada",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; B/C = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-10,CR,scored,10,relatable_pair,2,-1.00,"mano … barca",mano,barca,barca,zattera,martello,mela,A,"barca",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","B = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-11,CR,scored,11,unrelated_pair,11,0.25,"ponte … guanto",ponte,guanto,sciarpa,guanto,tamburo,chiave,B,"guanto",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-12,CR,scored,12,unrelated_pair,12,0.35,"neve … tamburo",neve,tamburo,flauto,sedia,tamburo,barca,C,"tamburo",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = stesso ambito del bersaglio, non era nella lista; B/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-13,CR,scored,13,unrelated_pair,13,0.45,"sasso … candela",sasso,candela,fiammifero,bottone,cucchiaio,candela,D,"candela",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","A = parola associata al bersaglio, non era nella lista; B/C = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
CR-SC-14,CR,scored,14,unrelated_pair,14,0.55,"gatto … forchetta",gatto,forchetta,forchetta,coltello,lampada,pesce,A,"forchetta",2,"2 = recupero corretto su richiamo; 1 = riconoscimento corretto dopo recupero mancato; 0 = riconoscimento errato.","B = stesso ambito del bersaglio, non era nella lista; C/D = bersagli di altre coppie della lista.",items/rubrics/CR.md#chiave-rapida,mock,draft
