"item_id","subtest","item_type","order","family","difficulty_rank","difficulty_target","level","trial","sequence","prompt","scoring_key","max_points","scoring_rubric","rubric_ref","source_status","review_status"
"PG-PR-01","PG","practice",1,"span_2",1,-3,2,1,"D1 A1","Toccare in ordine: D1 A1","Ripete esattamente D1 A1 nello stesso ordine.",1,"Item di prova: si mostra la risposta corretta se sbaglia. Non entra nel punteggio.","items/rubrics/PG.md#item-di-prova","mock","draft"
"PG-PR-02","PG","practice",2,"span_2",1,-3,2,2,"D3 B2","Toccare in ordine: D3 B2","Ripete esattamente D3 B2 nello stesso ordine.",1,"Item di prova: si mostra la risposta corretta se sbaglia. Non entra nel punteggio.","items/rubrics/PG.md#item-di-prova","mock","draft"
"PG-SC-01","PG","scored",1,"span_2",1,-2.5,2,1,"D1 B2","Toccare in ordine: D1 B2","Ripete esattamente D1 B2 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-02","PG","scored",2,"span_2",1,-2.5,2,2,"D2 B4","Toccare in ordine: D2 B4","Ripete esattamente D2 B4 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-03","PG","scored",3,"span_3",2,-1.8,3,1,"A4 B4 C3","Toccare in ordine: A4 B4 C3","Ripete esattamente A4 B4 C3 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-04","PG","scored",4,"span_3",2,-1.8,3,2,"B3 A3 A1","Toccare in ordine: B3 A3 A1","Ripete esattamente B3 A3 A1 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-05","PG","scored",5,"span_4",3,-1.1,4,1,"B1 D2 A1 B2","Toccare in ordine: B1 D2 A1 B2","Ripete esattamente B1 D2 A1 B2 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-06","PG","scored",6,"span_4",3,-1.1,4,2,"B1 A1 B3 D2","Toccare in ordine: B1 A1 B3 D2","Ripete esattamente B1 A1 B3 D2 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-07","PG","scored",7,"span_5",4,-0.4,5,1,"A3 B4 D3 C2 B2","Toccare in ordine: A3 B4 D3 C2 B2","Ripete esattamente A3 B4 D3 C2 B2 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-08","PG","scored",8,"span_5",4,-0.4,5,2,"B4 B1 A2 C1 C3","Toccare in ordine: B4 B1 A2 C1 C3","Ripete esattamente B4 B1 A2 C1 C3 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-09","PG","scored",9,"span_6",5,0.3,6,1,"D2 A3 D3 C2 D4 A1","Toccare in ordine: D2 A3 D3 C2 D4 A1","Ripete esattamente D2 A3 D3 C2 D4 A1 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-10","PG","scored",10,"span_6",5,0.3,6,2,"B3 D2 A3 B2 A2 D1","Toccare in ordine: B3 D2 A3 B2 A2 D1","Ripete esattamente B3 D2 A3 B2 A2 D1 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-11","PG","scored",11,"span_7",6,1,7,1,"D1 A2 B3 B4 D2 C4 A3","Toccare in ordine: D1 A2 B3 B4 D2 C4 A3","Ripete esattamente D1 A2 B3 B4 D2 C4 A3 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-12","PG","scored",12,"span_7",6,1,7,2,"C3 B2 C4 A3 A1 D1 A3","Toccare in ordine: C3 B2 C4 A3 A1 D1 A3","Ripete esattamente C3 B2 C4 A3 A1 D1 A3 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-13","PG","scored",13,"span_8",7,1.7,8,1,"B4 C3 B2 C1 D4 A4 A2 B4","Toccare in ordine: B4 C3 B2 C1 D4 A4 A2 B4","Ripete esattamente B4 C3 B2 C1 D4 A4 A2 B4 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-14","PG","scored",14,"span_8",7,1.7,8,2,"B3 C4 D1 D4 A3 B2 A4 C1","Toccare in ordine: B3 C4 D1 D4 A3 B2 A4 C1","Ripete esattamente B3 C4 D1 D4 A3 B2 A4 C1 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-15","PG","scored",15,"span_9",8,2.4,9,1,"A2 C1 C3 D2 A1 A4 C4 D3 B3","Toccare in ordine: A2 C1 C3 D2 A1 A4 C4 D3 B3","Ripete esattamente A2 C1 C3 D2 A1 A4 C4 D3 B3 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
"PG-SC-16","PG","scored",16,"span_9",8,2.4,9,2,"C2 B3 C3 A4 D4 A1 C4 D1 C1","Toccare in ordine: C2 B3 C3 A4 D4 A1 C4 D1 C1","Ripete esattamente C2 B3 C3 A4 D4 A1 C4 D1 C1 nello stesso ordine.",1,"1 = riproduce tutte le posizioni nell'ordine esatto; 0 = qualunque omissione, aggiunta, sostituzione o inversione.","items/rubrics/PG.md#chiave-rapida","mock","draft"
