item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,scoring_key,max_points,scoring_rubric,rubric_ref,source_status,review_status
SP-PR-01,SP,practice,1,common_concrete_word,1,-2.5,"Che cosa significa finestra?","Apertura in una parete che fa entrare luce o aria.",2,"2 = definizione corretta e generale; 1 = esempio o descrizione parziale corretta; 0 = risposta errata o non pertinente.",items/rubrics/SP.md#sp-pr-01,mock,draft
SP-PR-02,SP,practice,2,common_action_word,1,-2.3,"Che cosa significa proteggere?","Difendere o tenere al sicuro qualcuno o qualcosa.",2,"2 = definizione corretta e generale; 1 = esempio o descrizione parziale corretta; 0 = risposta errata o non pertinente.",items/rubrics/SP.md#sp-pr-02,mock,draft
SP-SC-01,SP,scored,1,state_word,1,-2.4,"Che cosa significa stanco?","Avere poca energia o bisogno di riposare.",2,"2 = definizione generale o sinonimo adeguato; 1 = esempio corretto; 0 = risposta errata o circolare.",items/rubrics/SP.md#sp-sc-01,mock,draft
SP-SC-05,SP,scored,2,common_action_word,2,-2.1,"Che cosa significa resistere?","Continuare o opporsi senza cedere davanti a una forza o difficoltà.",2,"2 = significato generale di opposizione o tenuta; 1 = solo un esempio corretto; 0 = risposta errata o circolare.",items/rubrics/SP.md#sp-sc-05,mock,draft
SP-SC-02,SP,scored,3,trait_word,3,-1.8,"Che cosa significa prudente?","Agire con attenzione considerando possibili rischi o conseguenze.",2,"2 = attenzione collegata a rischi/conseguenze; 1 = esempio adeguato; 0 = paura o giudizio morale.",items/rubrics/SP.md#sp-sc-02,mock,draft
SP-SC-03,SP,scored,4,relational_action_word,4,-1.5,"Che cosa significa contraddire?","Dire o sostenere qualcosa di contrario o incompatibile con quanto affermato.",2,"2 = opposizione tra affermazioni; 1 = disaccordo esemplificato; 0 = semplice litigio o interruzione.",items/rubrics/SP.md#sp-sc-03,mock,draft
SP-SC-04,SP,scored,5,abstract_adjective,5,-1.2,"Che cosa significa ambiguo?","Che può essere interpretato in più modi o non ha un significato univoco.",2,"2 = più interpretazioni; 1 = soltanto poco chiaro; 0 = sbagliato o complicato.",items/rubrics/SP.md#sp-sc-04,mock,draft
SP-SC-06,SP,scored,6,common_abstract_noun,6,-0.9,"Che cosa significa ostacolo?","Qualcosa che impedisce, rallenta o rende più difficile raggiungere un risultato.",2,"2 = impedimento o difficoltà generale; 1 = esempio concreto corretto; 0 = pericolo o oggetto qualsiasi.",items/rubrics/SP.md#sp-sc-06,mock,draft
SP-SC-07,SP,scored,7,cognitive_action_word,7,-0.6,"Che cosa significa prevedere?","Formarsi un'idea di ciò che potrebbe accadere prima che accada.",2,"2 = anticipare un evento futuro; 1 = indovinare o aspettarsi in un esempio; 0 = vedere o ricordare.",items/rubrics/SP.md#sp-sc-07,mock,draft
SP-SC-08,SP,scored,8,abstract_noun,8,-0.3,"Che cosa significa conseguenza?","Un fatto o risultato prodotto da un altro fatto o da un'azione.",2,"2 = risultato causato da qualcosa; 1 = ciò che succede dopo senza causalità chiara; 0 = intenzione o regola.",items/rubrics/SP.md#sp-sc-08,mock,draft
SP-SC-09,SP,scored,9,change_action_word,9,0.0,"Che cosa significa adattare?","Modificare qualcosa o il proprio comportamento per renderlo adatto a una situazione.",2,"2 = modificare in funzione di condizioni/scopo; 1 = abituarsi in un esempio; 0 = copiare o accettare.",items/rubrics/SP.md#sp-sc-09,mock,draft
SP-SC-10,SP,scored,10,abstract_adjective,10,0.3,"Che cosa significa coerente?","Che mantiene accordo logico tra parti, idee o comportamenti.",2,"2 = accordo o assenza di contraddizioni; 1 = sensato/ordinato senza spiegazione; 0 = corretto in senso morale.",items/rubrics/SP.md#sp-sc-10,mock,draft
SP-SC-11,SP,scored,11,abstract_adjective,11,0.6,"Che cosa significa inevitabile?","Che non può essere evitato o impedito.",2,"2 = impossibile da evitare; 1 = molto probabile o difficile da evitare; 0 = inatteso o obbligatorio.",items/rubrics/SP.md#sp-sc-11,mock,draft
SP-SC-12,SP,scored,12,relational_adjective,12,0.9,"Che cosa significa reciproco?","Che avviene o vale da ciascuna parte verso l'altra.",2,"2 = relazione in entrambe le direzioni; 1 = condiviso o fatto insieme; 0 = uguale o ripetuto.",items/rubrics/SP.md#sp-sc-12,mock,draft
SP-SC-13,SP,scored,13,abstract_adjective,13,1.2,"Che cosa significa implicito?","Che è comunicato o contenuto senza essere espresso direttamente.",2,"2 = presente ma non detto esplicitamente; 1 = nascosto/non chiaro senza idea comunicativa; 0 = falso o segreto.",items/rubrics/SP.md#sp-sc-13,mock,draft
SP-SC-14,SP,scored,14,time_status_adjective,14,1.5,"Che cosa significa provvisorio?","Destinato a durare temporaneamente in attesa di qualcosa di definitivo.",2,"2 = temporaneo/non definitivo; 1 = breve o incerto in un esempio; 0 = approssimativo o falso.",items/rubrics/SP.md#sp-sc-14,mock,draft
SP-SC-15,SP,scored,15,abstract_adjective,15,1.8,"Che cosa significa arbitrario?","Stabilito senza una ragione necessaria o secondo una scelta non vincolata da una regola.",2,"2 = scelta senza criterio necessario o fondata sul solo volere; 1 = casuale/ingiusto senza spiegazione; 0 = autorevole o obbligatorio.",items/rubrics/SP.md#sp-sc-15,mock,draft
SP-SC-16,SP,scored,16,evaluative_adjective,16,2.1,"Che cosa significa plausibile?","Che appare credibile o ragionevolmente possibile.",2,"2 = credibile/ragionevolmente possibile; 1 = possibile o probabile senza sfumatura; 0 = vero o dimostrato.",items/rubrics/SP.md#sp-sc-16,mock,draft
SP-SC-17,SP,scored,17,duration_adjective,17,2.4,"Che cosa significa effimero?","Che dura molto poco o scompare rapidamente.",2,"2 = di brevissima durata; 1 = fragile/passeggero in un esempio; 0 = antico o piccolo.",items/rubrics/SP.md#sp-sc-17,mock,draft
SP-SC-18,SP,scored,18,logical_adjective,18,2.7,"Che cosa significa paradossale?","Che sembra contraddittorio o assurdo ma può contenere un significato o risultato valido.",2,"2 = apparente contraddizione con possibile senso; 1 = strano/contraddittorio senza ulteriore precisazione; 0 = impossibile o comico.",items/rubrics/SP.md#sp-sc-18,mock,draft
