"item_id","subtest","item_type","order","family","microblock","difficulty_rank","difficulty_target","level","trial","sequence","target","prompt","scoring_key","max_points","scoring_rubric","rubric_ref","source_status","review_status"
"SM-PR-01","SM","practice",1,"backward_repetition","backward_repetition",1,-3.5,2,1,"1 9","9 1","Di' i numeri al contrario: 1 9","9 1",1,"Item di prova: si mostra la risposta corretta se sbaglia. Non entra nel punteggio.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-PR-02","SM","practice",2,"rule_based_reordering","rule_based_reordering",1,-3.5,2,1,"8 3","3 8","Di' questi numeri dal piu piccolo al piu grande: 8 3","3 8",1,"Item di prova: si mostra la risposta corretta se sbaglia. Non entra nel punteggio.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-PR-03","SM","practice",3,"running_span","running_span",1,-3.5,2,1,"9 1 8 3 2","3 2","Dimmi solo gli ultimi 2 numeri che ti ho detto: 9 1 8 3 2","3 2",1,"Item di prova: si mostra la risposta corretta se sbaglia. Non entra nel punteggio.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-01","SM","scored",1,"backward_repetition","backward_repetition",1,-3,2,1,"6 9","9 6","Di' i numeri al contrario: 6 9","9 6",1,"1 = dice esattamente ""9 6"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-02","SM","scored",2,"backward_repetition","backward_repetition",1,-3,2,2,"8 5","5 8","Di' i numeri al contrario: 8 5","5 8",1,"1 = dice esattamente ""5 8"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-03","SM","scored",3,"backward_repetition","backward_repetition",2,-1.8,3,1,"5 4 7","7 4 5","Di' i numeri al contrario: 5 4 7","7 4 5",1,"1 = dice esattamente ""7 4 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-04","SM","scored",4,"backward_repetition","backward_repetition",2,-1.8,3,2,"2 9 6","6 9 2","Di' i numeri al contrario: 2 9 6","6 9 2",1,"1 = dice esattamente ""6 9 2"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-05","SM","scored",5,"backward_repetition","backward_repetition",3,-0.6,4,1,"7 3 1 6","6 1 3 7","Di' i numeri al contrario: 7 3 1 6","6 1 3 7",1,"1 = dice esattamente ""6 1 3 7"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-06","SM","scored",6,"backward_repetition","backward_repetition",3,-0.6,4,2,"5 6 1 8","8 1 6 5","Di' i numeri al contrario: 5 6 1 8","8 1 6 5",1,"1 = dice esattamente ""8 1 6 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-07","SM","scored",7,"backward_repetition","backward_repetition",4,0.6,5,1,"5 1 7 6 3","3 6 7 1 5","Di' i numeri al contrario: 5 1 7 6 3","3 6 7 1 5",1,"1 = dice esattamente ""3 6 7 1 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-08","SM","scored",8,"backward_repetition","backward_repetition",4,0.6,5,2,"8 7 2 6 5","5 6 2 7 8","Di' i numeri al contrario: 8 7 2 6 5","5 6 2 7 8",1,"1 = dice esattamente ""5 6 2 7 8"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-09","SM","scored",9,"backward_repetition","backward_repetition",5,1.8,6,1,"6 8 5 2 1 3","3 1 2 5 8 6","Di' i numeri al contrario: 6 8 5 2 1 3","3 1 2 5 8 6",1,"1 = dice esattamente ""3 1 2 5 8 6"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-10","SM","scored",10,"backward_repetition","backward_repetition",5,1.8,6,2,"4 8 9 1 5 7","7 5 1 9 8 4","Di' i numeri al contrario: 4 8 9 1 5 7","7 5 1 9 8 4",1,"1 = dice esattamente ""7 5 1 9 8 4"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
