item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,option_a,option_b,option_c,option_d,correct_answer,scoring_key,max_points,scoring_rubric,distractor_rationale,rubric_ref,source_status,review_status
RR-PR-01,RR,practice,1,series_completion,1,-2.6,"Guarda la serie e scegli che cosa viene dopo: ● ○ ● ○ ● ?",○,●,■,△,A,"○",1,"1 = A; 0 = altra risposta.","B = ripete l'ultima figura invece di alternare; C/D = forme estranee alla serie.",items/rubrics/RR.md#item-di-prova,mock,draft
RR-PR-02,RR,practice,2,rule_transformation,1,-2.5,"Regola: ogni ● diventa ■. Applica la regola a: ● ○ ●",■ ○ ■,● ○ ●,■ ■ ■,○ ■ ○,A,"■ ○ ■",1,"1 = A; 0 = altra risposta.","B = non applica la regola; C = applica la regola anche a ○; D = scambia le posizioni.",items/rubrics/RR.md#item-di-prova,mock,draft
RR-SC-01,RR,scored,1,series_completion,1,-2.40,"Che cosa viene dopo? ● ● ○ ● ● ○ ● ● ?",●,○,■,△,B,"○",1,"1 = B; 0 = altra risposta.","A = continua la coppia invece di chiudere il gruppo di tre; C/D = forme estranee alla serie.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-02,RR,scored,2,rule_transformation,2,-2.15,"Regola: ogni ○ diventa ●. Applica la regola a: ○ ■ ○",○ ■ ○,● ● ●,● ■ ●,■ ● ■,C,"● ■ ●",1,"1 = C; 0 = altra risposta.","A = non applica la regola; B = applica la regola anche a ■; D = scambia le posizioni.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-03,RR,scored,3,constraint_ordering,3,-1.90,"Tre figure sono in fila. Il ● è davanti al ■. Il ■ è davanti al ▲. Quale figura è per ultima?",●,■,▲,non si può sapere,C,"▲",1,"1 = C; 0 = altra risposta.","A = prende la prima figura nominata; B = prende quella centrale; D = i due vincoli bastano a determinare l'ordine.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-04,RR,scored,4,series_completion,4,-1.65,"I gruppi crescono. Che cosa viene dopo? ▲ / ▲▲ / ▲▲▲ / ?",▲▲,▲▲▲,▲▲▲▲▲,▲▲▲▲,D,"▲▲▲▲",1,"1 = D; 0 = altra risposta.","A/B = ripetono un gruppo già comparso; C = salta un passo della crescita.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-05,RR,scored,5,rule_transformation,5,-1.40,"Regola: ogni ● diventa ▲ e ogni ▲ diventa ●. Applica la regola a: ● ▲ ● ●",▲ ● ▲ ▲,● ▲ ● ●,▲ ▲ ▲ ▲,● ● ● ●,A,"▲ ● ▲ ▲",1,"1 = A; 0 = altra risposta.","B = non applica la regola; C/D = applicano una sola direzione dello scambio.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-06,RR,scored,6,rule_induction,6,-1.15,"Questi rispettano una regola: ●● / ▲▲ / ■■. Questi no: ●▲ / ■● / ▲■. Quale rispetta la regola?",●■,■▲,▲▲,○●,C,"▲▲",1,"1 = C; 0 = altra risposta.","A/B = due forme diverse, come negli esempi che non rispettano la regola; D = due forme diverse anche se dello stesso tipo di riempimento.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-07,RR,scored,7,constraint_ordering,7,-0.90,"Tre figure sono in fila. Il ■ è dopo il ●. Il ▲ è prima del ●. Quale figura è la prima?",▲,●,■,non si può sapere,A,"▲",1,"1 = A; 0 = altra risposta.","B = prende la figura nominata per prima nel testo; C = prende l'ultima; D = i due vincoli bastano a determinare l'ordine.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-08,RR,scored,8,series_completion,8,-0.65,"Che cosa viene dopo? ● ○ ■ □ ▲ ?",▲,●,□,△,D,"△",1,"1 = D; 0 = altra risposta.","A = ripete l'ultima figura; B = torna all'inizio della serie; C = cambia riempimento ma non forma.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-09,RR,scored,9,conditional_rule,9,-0.40,"Regola: se in un gruppo c'è un ■, allora nel gruppo c'è anche un ○. Quale gruppo NON rispetta la regola?",■ ○ ▲,○ ▲ ▲,■ ▲ ▲,○ ○ ■,C,"■ ▲ ▲",1,"1 = C; 0 = altra risposta.","A/D = hanno ■ e anche ○, quindi rispettano la regola; B = non ha nessun ■, quindi la regola non si applica.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-10,RR,scored,10,rule_transformation,10,-0.15,"Regola: sposta la prima figura alla fine. Applica la regola a: ● ■ ▲ ○",○ ● ■ ▲,● ■ ▲ ○,▲ ○ ● ■,■ ▲ ○ ●,D,"■ ▲ ○ ●",1,"1 = D; 0 = altra risposta.","A = sposta l'ultima all'inizio; B = non applica la regola; C = sposta due figure invece di una.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-11,RR,scored,11,rule_induction,11,0.10,"Rispettano la regola: ●○● / ▲△▲ / ■□■. Non la rispettano: ●●○ / △▲△ / ■■□. Quale rispetta la regola?",□■□,■□■,○●○,△▲▲,B,"■□■",1,"1 = B; 0 = altra risposta.","A/C = pieno e vuoto sono invertiti rispetto agli esempi corretti; D = le ultime due figure sono uguali.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-12,RR,scored,12,constraint_ordering,12,0.35,"Tre figure sono in fila. Il ● non è primo. Il ■ è subito dopo il ●. Il ▲ è primo. In che ordine sono?",▲ ● ■,● ■ ▲,▲ ■ ●,non si può sapere,A,"▲ ● ■",1,"1 = A; 0 = altra risposta.","B = ignora che ▲ è primo; C = inverte ● e ■; D = i tre vincoli insieme determinano un solo ordine.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-13,RR,scored,13,series_completion,13,0.60,"Che cosa viene dopo? ● ■ ● ■ ■ ● ■ ■ ■ ?",■,□,▲,●,D,"●",1,"1 = D; 0 = altra risposta.","A = allunga ancora il gruppo di ■ invece di chiuderlo; B/C = forme estranee alla serie.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-14,RR,scored,14,conditional_rule,14,0.85,"Regola: un gruppo va bene solo se contiene esattamente due figure piene. Quale gruppo va bene?",● ○ ▲ ○,● ▲ ■,○ □ △,● ○ ○,A,"● ○ ▲ ○",1,"1 = A; 0 = altra risposta.","B = tre figure piene; C = nessuna figura piena; D = una sola figura piena.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-15,RR,scored,15,rule_transformation,15,1.10,"Regola: scambia la prima figura con l'ultima, poi trasforma ogni ● in ○. Applica la regola a: ● ■ ▲ △",△ ■ ▲ ●,○ ■ ▲ △,△ ■ ▲ ○,△ ▲ ■ ○,C,"△ ■ ▲ ○",1,"1 = C; 0 = altra risposta.","A = esegue solo lo scambio; B = esegue solo la trasformazione; D = scambia anche le due figure centrali.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-16,RR,scored,16,rule_induction,16,1.35,"Rispettano la regola: ●■▲ / ○□△ / ●□▲. Non la rispettano: ■●▲ / △○□ / □●▲. Quale rispetta la regola?",■□▲,△□●,○△■,○■△,D,"○■△",1,"1 = D; 0 = altra risposta.","La regola riguarda l'ordine delle forme: cerchio, quadrato, triangolo. A comincia da un quadrato; B comincia da un triangolo; C mette il triangolo prima del quadrato.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-17,RR,scored,17,constraint_ordering,17,1.60,"Tre figure sono in fila. Il ● è prima del ■. Il ▲ è prima del ■. Quale figura è la prima?",●,▲,■,non si può sapere,D,"non si può sapere",1,"1 = D; 0 = altra risposta.","A/B = i vincoli dicono solo che entrambe precedono ■, non quale delle due venga prima; C = ■ è l'unica figura che non può essere prima.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-18,RR,scored,18,conditional_rule,18,1.85,"Regola: se in un gruppo c'è un ▲, allora nel gruppo non c'è nessun ■. Di quale gruppo si può essere sicuri che NON contiene nessun ▲, anche senza vederlo tutto?",un gruppo in cui si vede un ■,un gruppo in cui si vede un ○,un gruppo in cui si vede un ●,un gruppo in cui si vede un □,A,"un gruppo in cui si vede un ■",1,"1 = A; 0 = altra risposta.","La regola vieta ▲ e ■ insieme: vedere un ■ esclude il ▲. B/C/D = figure che la regola non nomina e che quindi non permettono nessuna conclusione.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-19,RR,scored,19,series_completion,19,2.10,"Che cosa viene dopo? ● ■ ○ □ ● ▲ ○ △ ● ?",□,■,▲,○,B,"■",1,"1 = B; 0 = altra risposta.","Le posizioni dispari alternano ● e ○; le posizioni pari seguono la serie ■ □ ▲ △ e ricominciano. A/C = passi successivi della serie pari; D = appartiene alla serie dispari.",items/rubrics/RR.md#chiave-rapida,mock,draft
RR-SC-20,RR,scored,20,rule_induction,20,2.35,"Rispettano la regola: ●○■ / ▲△□ / ■□●. Non la rispettano: ●■○ / ▲■△ / □●■. Quale rispetta la regola?",○●▲,●▲○,□▲■,▲○△,A,"○●▲",1,"1 = A; 0 = altra risposta.","Nei gruppi corretti le prime due figure hanno la stessa forma e la terza ha forma diversa. B/C/D hanno le prime due figure di forma diversa e la terza della stessa forma della prima: falliscono la regola in entrambe le letture possibili.",items/rubrics/RR.md#chiave-rapida,mock,draft
