item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,scoring_key,max_points,scoring_rubric,rubric_ref,source_status,review_status
CS-PR-01,CS,practice,1,rule_rationale,1,-2.5,"Perché quando fa freddo ci si mette il cappotto?","Per non avere freddo: il cappotto trattiene il calore del corpo.",2,"2 = indica la funzione di proteggere dal freddo; 1 = ripete che fa freddo senza spiegare a che cosa serve; 0 = risposta non pertinente.",items/rubrics/CS.md#cs-pr-01,mock,draft
CS-SC-01,CS,scored,1,situational_action,1,-2.2,"Che cosa fai se ti accorgi di avere perso lo zaino mentre sei a scuola?","Rivolgersi a un adulto della scuola e ripercorrere i posti in cui si è stati.",2,"2 = azione efficace rivolta a chi può aiutare, oppure ricerca sistematica; 1 = azione parziale o generica; 0 = nessuna azione utile o risposta non pertinente.",items/rubrics/CS.md#cs-sc-01,mock,draft
CS-SC-02,CS,scored,2,rule_rationale,2,-1.7,"Perché prima di attraversare la strada si aspetta il verde?","Perché le automobili si fermano solo con il rosso: attraversare prima è pericoloso.",2,"2 = collega il segnale al comportamento delle automobili o alla sicurezza; 1 = dice soltanto che è la regola o che lo dicono i grandi; 0 = risposta non pertinente.",items/rubrics/CS.md#cs-sc-02,mock,draft
CS-SC-03,CS,scored,3,situational_action,3,-1.2,"Che cosa fai se un tuo amico si fa male mentre giocate e non c'è nessun adulto vicino?","Cercare subito un adulto e intanto non lasciarlo solo.",2,"2 = cerca aiuto adeguato e tiene conto dell'amico; 1 = una sola delle due cose, o un aiuto generico; 0 = nessuna azione utile o risposta non pertinente.",items/rubrics/CS.md#cs-sc-03,mock,draft
CS-SC-04,CS,scored,4,social_convention,4,-0.7,"Perché alla fermata dell'autobus le persone fanno la fila?","Perché stabilisce un ordine chiaro: sale prima chi è arrivato prima, senza spingersi.",2,"2 = indica un criterio di ordine o equità; 1 = indica solo che altrimenti ci si spinge o si crea confusione; 0 = attribuisce la fila a un'autorità esterna o risponde fuori tema.",items/rubrics/CS.md#cs-sc-04,mock,draft
CS-SC-05,CS,scored,5,perspective_taking,5,-0.2,"Un tuo compagno ti interrompe di continuo mentre parli. Che cosa puoi fare per farti ascoltare senza litigare?","Aspettare una pausa e dirgli con calma che vorresti finire di parlare.",2,"2 = strategia che risolve il problema tenendo conto anche dell'altro; 1 = strategia parziale, come aspettare o alzare la voce; 0 = strategia che non risolve il problema o lo peggiora.",items/rubrics/CS.md#cs-sc-05,mock,draft
CS-SC-06,CS,scored,6,rule_rationale,6,0.3,"Perché sulle confezioni dei medicinali c'è una data di scadenza?","Perché dopo quella data il medicinale può perdere efficacia o diventare dannoso.",2,"2 = indica perdita di efficacia o rischio per la salute; 1 = dice solo che diventa vecchio o che non va più bene; 0 = attribuisce la data a ragioni commerciali o risponde fuori tema.",items/rubrics/CS.md#cs-sc-06,mock,draft
CS-SC-07,CS,scored,7,institutional_reasoning,7,0.8,"Perché in molti lavori è previsto un periodo di prova prima dell'assunzione definitiva?","Perché permette a entrambe le parti di verificare se il lavoro è adatto prima di un impegno lungo.",2,"2 = riconosce la verifica reciproca o la riduzione di un rischio per entrambe le parti; 1 = considera solo il punto di vista del datore di lavoro; 0 = risposta non pertinente o basata su un vantaggio economico immediato.",items/rubrics/CS.md#cs-sc-07,mock,draft
CS-SC-08,CS,scored,8,perspective_taking,8,1.3,"Due persone raccontano la stessa lite in modo molto diverso, ma nessuna delle due sta mentendo. Come è possibile?","Perché ciascuna ha notato e ricordato aspetti diversi, dal proprio punto di vista.",2,"2 = attribuisce la differenza a punto di vista, attenzione o ricostruzione della memoria; 1 = dice solo che si sono confuse o che non ricordano bene; 0 = sostiene comunque che una delle due mente.",items/rubrics/CS.md#cs-sc-08,mock,draft
CS-SC-09,CS,scored,9,institutional_reasoning,9,1.8,"Perché in una gara chi fa da arbitro non dovrebbe essere anche uno dei concorrenti?","Perché avrebbe un interesse nel risultato e non potrebbe giudicare in modo imparziale.",2,"2 = nomina il conflitto di interessi o l'imparzialità; 1 = dice solo che non sarebbe giusto o che potrebbe favorirsi; 0 = motivo pratico non pertinente, come la mancanza di tempo.",items/rubrics/CS.md#cs-sc-09,mock,draft
CS-SC-10,CS,scored,10,abstract_social,10,2.3,"A volte una regola giusta in generale produce un risultato ingiusto in un caso particolare. Perché può succedere?","Perché le regole sono generali e non possono prevedere tutte le situazioni: applicarle alla lettera può ignorare circostanze rilevanti.",2,"2 = collega la generalità della regola all'impossibilità di prevedere ogni caso; 1 = dice solo che ogni caso è diverso; 0 = conclude che la regola era sbagliata o risponde fuori tema.",items/rubrics/CS.md#cs-sc-10,mock,draft
