item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,scoring_key,max_points,scoring_rubric,rubric_ref,source_status,review_status
QS-PR-01,QS,practice,1,arithmetic_two_step,1,-2.5,"Hai 3 figurine. Ne compri 2 e poi ne regali 1. Quante figurine hai adesso?","4",2,"2 = 4; 1 = 5, cioè si ferma dopo l'acquisto; 0 = altra risposta.",items/rubrics/QS.md#qs-pr-01,mock,draft
QS-SC-01,QS,scored,1,arithmetic_two_step,1,-2.2,"Hai 5 biglie. Ne regali 2 e poi ne trovi 1. Quante biglie hai adesso?","4",2,"2 = 4; 1 = 3 oppure 6, cioè esegue un solo passaggio; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-01,mock,draft
QS-SC-02,QS,scored,2,partition_two_step,2,-1.8,"Hai 6 caramelle. Le dividi in parti uguali fra te e un amico, poi tu ne mangi una. Quante caramelle ti restano?","2",2,"2 = 2; 1 = 3, cioè si ferma dopo la divisione; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-02,mock,draft
QS-SC-03,QS,scored,3,arithmetic_two_step,3,-1.4,"Una scatola contiene 4 penne. Compri 3 scatole e poi perdi 2 penne. Quante penne hai?","10",2,"2 = 10; 1 = 12, cioè si ferma dopo la moltiplicazione; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-03,mock,draft
QS-SC-04,QS,scored,4,equalization,4,-1.0,"In una scatola ci sono 8 matite, in un'altra 4. Quante matite devi spostare dalla prima alla seconda perché le due scatole ne abbiano lo stesso numero?","2",2,"2 = 2; 1 = 4, cioè indica la differenza invece della sua metà; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-04,mock,draft
QS-SC-05,QS,scored,5,estimation,5,-0.6,"Un quaderno costa poco meno di 3 euro. Circa quanto spendi per 4 quaderni? Non serve il conto esatto.","Circa 11-12 euro, un po' meno di 12.",2,"2 = stima fra 10 e 12 euro che tiene conto del «poco meno»; 1 = esattamente 12 euro, stima corretta senza l'aggiustamento; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-05,mock,draft
QS-SC-06,QS,scored,6,rate,6,-0.2,"Un rubinetto riempie 2 bottiglie in 4 minuti. Quanto tempo serve per riempire 5 bottiglie uguali?","10 minuti",2,"2 = 10 minuti; 1 = individua 2 minuti per bottiglia ma sbaglia il totale; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-06,mock,draft
QS-SC-07,QS,scored,7,proportional,7,0.2,"Con 6 uova si preparano 12 frittelle. Quante uova servono per 18 frittelle?","9 uova",2,"2 = 9 uova; 1 = individua il rapporto di 2 frittelle per uovo ma sbaglia il totale; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-07,mock,draft
QS-SC-08,QS,scored,8,fraction_of_quantity,8,0.6,"Una maglietta costa 20 euro. Durante i saldi il negozio toglie un quarto del prezzo. Quanto costa la maglietta durante i saldi?","15 euro",2,"2 = 15 euro; 1 = 5 euro, cioè calcola lo sconto senza sottrarlo; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-08,mock,draft
QS-SC-09,QS,scored,9,inverse_proportion,9,1.0,"Sei operai montano una struttura in 4 giorni. Quanti giorni servirebbero a 3 operai, lavorando allo stesso ritmo?","8 giorni",2,"2 = 8 giorni; 1 = riconosce che con meno operai serve più tempo ma indica un numero sbagliato; 0 = indica un tempo minore di 4 giorni o altra risposta.",items/rubrics/QS.md#qs-sc-09,mock,draft
QS-SC-10,QS,scored,10,estimation,10,1.4,"Una fila di 100 persone occupa circa 60 metri. Circa quanti metri occupa una fila di 250 persone?","Circa 150 metri",2,"2 = una stima vicina a 150 metri; 1 = individua circa 0,6 metri per persona ma sbaglia il totale; 0 = altra risposta.",items/rubrics/QS.md#qs-sc-10,mock,draft
QS-SC-11,QS,scored,11,rate,11,1.8,"Una pompa svuota una vasca in 30 minuti. Una seconda pompa, più lenta, svuoterebbe la stessa vasca in 60 minuti. Lavorando insieme, in quanto tempo la svuotano?","20 minuti",2,"2 = 20 minuti; 1 = riconosce che il tempo è minore di 30 minuti e prova a combinare le due velocità, senza arrivare al risultato; 0 = 45 minuti, un tempo maggiore di 30 minuti, o altra risposta.",items/rubrics/QS.md#qs-sc-11,mock,draft
QS-SC-12,QS,scored,12,inverse_proportion,12,2.2,"Un serbatoio si riempie con 3 tubi uguali in 8 ore. Un giorno uno dei tre tubi è guasto. In quante ore si riempie con i due tubi rimasti?","12 ore",2,"2 = 12 ore; 1 = calcola che un solo tubo impiegherebbe 24 ore ma sbaglia il passaggio finale; 0 = 16 ore, un tempo minore di 8 ore, o altra risposta.",items/rubrics/QS.md#qs-sc-12,mock,draft
