item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,option_a,option_b,option_c,option_d,correct_answer,scoring_key,max_points,scoring_rubric,distractor_rationale,rubric_ref,source_status,review_status
RS-PR-01,RS,practice,1,analogy_function,1,-2.5,"Scarpa sta a piede come guanto sta a...",mano,testa,gamba,collo,A,"mano",1,"1 = A; 0 = altra risposta.","B/C/D = parti del corpo che non usano il guanto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-PR-02,RS,practice,2,category_exclusion,1,-2.3,"Quale parola non appartiene al gruppo?",cane,gatto,mela,cavallo,C,"mela",1,"1 = C; 0 = altra risposta.","A/B/D = animali; C = frutto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-03,RS,scored,1,category_exclusion,1,-2.4,"Quale parola non appartiene al gruppo?",mela,pera,carota,pesca,C,"carota",1,"1 = C; 0 = altra risposta.","A/B/D = frutti d'uso comune; C = ortaggio/radice commestibile.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-01,RS,scored,2,part_whole,2,-2.2,"Ruota sta a bicicletta come pagina sta a...",penna,libro,tavolo,scaffale,B,"libro",1,"1 = B; 0 = altra risposta.","A = oggetto associato alla scrittura; C/D = oggetti che possono sostenere o contenere un libro, ma non relazione parte-tutto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-02,RS,scored,3,function,3,-2.0,"Una bussola serve principalmente per...",misurare il tempo,orientarsi,tagliare,scrivere,B,"orientarsi",1,"1 = B; 0 = altra risposta.","A/C/D = funzioni di altri strumenti comuni.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-07,RS,scored,4,development,4,-1.8,"Cucciolo sta a cane come pulcino sta a...",nido,uovo,gallina,piuma,C,"gallina",1,"1 = C; 0 = altra risposta.","A = luogo in cui nasce; B = fase precedente, non l'adulto; D = parte del corpo; solo C è la forma adulta.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-08,RS,scored,5,opposition,5,-1.6,"La parola pieno è l'opposto di...",pesante,largo,caldo,vuoto,D,"vuoto",1,"1 = D; 0 = altra risposta.","A/B/C = qualità fisiche di altro tipo; nessuna riguarda la quantità di contenuto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-09,RS,scored,6,category_exclusion,6,-1.4,"Quale parola non appartiene al gruppo?",martello,sedia,cacciavite,pinza,B,"sedia",1,"1 = B; 0 = altra risposta.","A/C/D = attrezzi che si impugnano per lavorare; B = mobile.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-10,RS,scored,7,part_whole,7,-1.2,"Petalo sta a fiore come tasto sta a...",pianoforte,musica,suono,corda,A,"pianoforte",1,"1 = A; 0 = altra risposta.","B/C = ciò che lo strumento produce; D = un'altra parte dello strumento, non il tutto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-11,RS,scored,8,function,8,-1.0,"Un termometro serve principalmente per...",indicare la direzione,pesare gli oggetti,misurare la temperatura,contare i giorni,C,"misurare la temperatura",1,"1 = C; 0 = altra risposta.","A/B/D = funzioni rispettivamente di bussola, bilancia e calendario.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-04,RS,scored,9,opposition,9,-0.8,"La parola vietato è l'opposto di...",permesso,urgente,lontano,leggero,A,"permesso",1,"1 = A; 0 = altra risposta.","B/C/D = aggettivi non appartenenti alla relazione di autorizzazione.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-05,RS,scored,10,development,10,-0.6,"Seme sta a pianta come uovo sta a...",nido,piuma,uccello,ramo,C,"uccello",1,"1 = C; 0 = altra risposta.","A = luogo associato; B = parte/proprietà; D = elemento dell'ambiente; solo C completa la relazione di sviluppo.",items/rubrics/RS.md#chiave-rapida,mock,draft
